Site,Variant,Side,MoveId,Move,FEN,Eval
https://lichess.org/4hAkMwVg,From Position,b,1,Qb3,3r1rk1/pp3p1b/7p/5p2/2p2P2/1qNP1QP1/6BP/3R1K2 w - - 2 30,cp -552
https://lichess.org/4hAkMwVg,From Position,b,2,d4,3r1rk1/pp3p1b/7p/5p2/2pP1P2/1qN2QP1/6BP/3R1K2 b - - 0 30,cp 549
https://lichess.org/4hAkMwVg,From Position,b,3,b5,3r1rk1/p4p1b/7p/1p3p2/2pP1P2/1qN2QP1/6BP/3R1K2 w - - 0 31,cp -560
https://lichess.org/4hAkMwVg,From Position,b,4,Rb1,3r1rk1/p4p1b/7p/1p3p2/2pP1P2/1qN2QP1/6BP/1R3K2 b - - 1 31,cp 565
https://lichess.org/4hAkMwVg,From Position,b,5,Qc2,3r1rk1/p4p1b/7p/1p3p2/2pP1P2/2N2QP1/2q3BP/1R3K2 w - - 2 32,cp -574
https://lichess.org/4hAkMwVg,From Position,b,6,d5,3r1rk1/p4p1b/7p/1p1P1p2/2p2P2/2N2QP1/2q3BP/1R3K2 b - - 0 32,cp 563
https://lichess.org/4hAkMwVg,From Position,b,7,a6,3r1rk1/5p1b/p6p/1p1P1p2/2p2P2/2N2QP1/2q3BP/1R3K2 w - - 0 33,cp 473
https://lichess.org/4hAkMwVg,From Position,b,8,Kg1,3r1rk1/5p1b/p6p/1p1P1p2/2p2P2/2N2QP1/2q3BP/1R4K1 b - - 1 33,cp -487
https://lichess.org/4hAkMwVg,From Position,b,9,Rd6,5rk1/5p1b/p2r3p/1p1P1p2/2p2P2/2N2QP1/2q3BP/1R4K1 w - - 2 34,cp 499
https://lichess.org/4hAkMwVg,From Position,b,10,Qe3,5rk1/5p1b/p2r3p/1p1P1p2/2p2P2/2N1Q1P1/2q3BP/1R4K1 b - - 3 34,cp 438
https://lichess.org/4hAkMwVg,From Position,b,11,Rb8,1r4k1/5p1b/p2r3p/1p1P1p2/2p2P2/2N1Q1P1/2q3BP/1R4K1 w - - 4 35,cp 415
https://lichess.org/4hAkMwVg,From Position,b,12,Rb4,1r4k1/5p1b/p2r3p/1p1P1p2/1Rp2P2/2N1Q1P1/2q3BP/6K1 b - - 5 35,cp -506
https://lichess.org/4hAkMwVg,From Position,b,13,a5,1r4k1/5p1b/3r3p/pp1P1p2/1Rp2P2/2N1Q1P1/2q3BP/6K1 w - - 0 36,cp 509
https://lichess.org/4hAkMwVg,From Position,b,14,Rxb5,1r4k1/5p1b/3r3p/pR1P1p2/2p2P2/2N1Q1P1/2q3BP/6K1 b - - 0 36,cp -499
https://lichess.org/4hAkMwVg,From Position,b,15,Rxb5,6k1/5p1b/3r3p/pr1P1p2/2p2P2/2N1Q1P1/2q3BP/6K1 w - - 0 37,cp 500
https://lichess.org/4hAkMwVg,From Position,b,16,Qe8+,4Q1k1/5p1b/3r3p/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 b - - 1 37,cp -504
https://lichess.org/4hAkMwVg,From Position,b,17,Kg7,4Q3/5pkb/3r3p/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 w - - 2 38,cp 516
https://lichess.org/4hAkMwVg,From Position,b,18,Qe5+,8/5pkb/3r3p/pr1PQp2/2p2P2/2N3P1/2q3BP/6K1 b - - 3 38,cp -498
https://lichess.org/4hAkMwVg,From Position,b,19,f6,8/6kb/3r1p1p/pr1PQp2/2p2P2/2N3P1/2q3BP/6K1 w - - 0 39,cp -0
https://lichess.org/4hAkMwVg,From Position,b,20,Qe7+,8/4Q1kb/3r1p1p/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 b - - 1 39,cp -509
https://lichess.org/4hAkMwVg,From Position,b,21,Kg6,8/4Q2b/3r1pkp/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 w - - 2 40,cp -0
https://lichess.org/4hAkMwVg,From Position,b,22,Qe8+,4Q3/7b/3r1pkp/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 b - - 3 40,cp -516
https://lichess.org/4hAkMwVg,From Position,b,23,Kg7,4Q3/6kb/3r1p1p/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 w - - 4 41,cp 513
https://lichess.org/4hAkMwVg,From Position,b,24,Qe7+,8/4Q1kb/3r1p1p/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 b - - 5 41,cp -519
https://lichess.org/4hAkMwVg,From Position,b,25,Kh8,7k/4Q2b/3r1p1p/pr1P1p2/2p2P2/2N3P1/2q3BP/6K1 w - - 6 42,cp 503
https://lichess.org/4hAkMwVg,From Position,b,26,Nxb5,7k/4Q2b/3r1p1p/pN1P1p2/2p2P2/6P1/2q3BP/6K1 b - - 0 42,cp 501
https://lichess.org/4hAkMwVg,From Position,b,27,Rb6,7k/4Q2b/1r3p1p/pN1P1p2/2p2P2/6P1/2q3BP/6K1 w - - 1 43,cp -510
https://lichess.org/4hAkMwVg,From Position,b,28,Qd8+,3Q3k/7b/1r3p1p/pN1P1p2/2p2P2/6P1/2q3BP/6K1 b - - 2 43,cp 500
https://lichess.org/4hAkMwVg,From Position,b,29,Bg8,3Q2bk/8/1r3p1p/pN1P1p2/2p2P2/6P1/2q3BP/6K1 w - - 3 44,cp 500
https://lichess.org/4hAkMwVg,From Position,b,30,Qxb6,6bk/8/1Q3p1p/pN1P1p2/2p2P2/6P1/2q3BP/6K1 b - - 0 44,cp -501
https://lichess.org/4hAkMwVg,From Position,b,31,a4,6bk/8/1Q3p1p/1N1P1p2/p1p2P2/6P1/2q3BP/6K1 w - - 0 45,cp 503
https://lichess.org/4hAkMwVg,From Position,b,32,h3,6bk/8/1Q3p1p/1N1P1p2/p1p2P2/6PP/2q3B1/6K1 b - - 0 45,cp -513
https://lichess.org/4hAkMwVg,From Position,b,33,Qd2,6bk/8/1Q3p1p/1N1P1p2/p1p2P2/6PP/3q2B1/6K1 w - - 1 46,mate -16
https://lichess.org/4hAkMwVg,From Position,b,34,Qxf6+,6bk/8/5Q1p/1N1P1p2/p1p2P2/6PP/3q2B1/6K1 b - - 0 46,cp -503
https://lichess.org/4hAkMwVg,From Position,b,35,Kh7,6b1/7k/5Q1p/1N1P1p2/p1p2P2/6PP/3q2B1/6K1 w - - 1 47,cp 506
https://lichess.org/4hAkMwVg,From Position,b,36,Kh2,6b1/7k/5Q1p/1N1P1p2/p1p2P2/6PP/3q2BK/8 b - - 2 47,cp -513
https://lichess.org/4hAkMwVg,From Position,b,37,Bxd5,8/7k/5Q1p/1N1b1p2/p1p2P2/6PP/3q2BK/8 w - - 0 48,cp 522
https://lichess.org/4hAkMwVg,From Position,b,38,Qe7+,8/4Q2k/7p/1N1b1p2/p1p2P2/6PP/3q2BK/8 b - - 1 48,cp -500
https://lichess.org/4hAkMwVg,From Position,b,39,Kg8,6k1/4Q3/7p/1N1b1p2/p1p2P2/6PP/3q2BK/8 w - - 2 49,cp 509
https://lichess.org/4hAkMwVg,From Position,b,40,Qe8+,4Q1k1/8/7p/1N1b1p2/p1p2P2/6PP/3q2BK/8 b - - 3 49,cp -571
https://lichess.org/4hAkMwVg,From Position,b,41,Kg7,4Q3/6k1/7p/1N1b1p2/p1p2P2/6PP/3q2BK/8 w - - 4 50,cp -586
https://lichess.org/4hAkMwVg,From Position,b,42,Qd7+,8/3Q2k1/7p/1N1b1p2/p1p2P2/6PP/3q2BK/8 b - - 5 50,cp -539
https://lichess.org/4hAkMwVg,From Position,b,43,Kg6,8/3Q4/6kp/1N1b1p2/p1p2P2/6PP/3q2BK/8 w - - 6 51,cp -563
https://lichess.org/4hAkMwVg,From Position,b,44,Qd6+,8/8/3Q2kp/1N1b1p2/p1p2P2/6PP/3q2BK/8 b - - 7 51,cp -532
https://lichess.org/4hAkMwVg,From Position,b,45,Kh5,8/8/3Q3p/1N1b1p1k/p1p2P2/6PP/3q2BK/8 w - - 8 52,mate -25
https://lichess.org/4hAkMwVg,From Position,b,46,Qxd5,8/8/7p/1N1Q1p1k/p1p2P2/6PP/3q2BK/8 b - - 0 52,cp 566
https://lichess.org/4hAkMwVg,From Position,b,47,Qxd5,8/8/7p/1N1q1p1k/p1p2P2/6PP/6BK/8 w - - 0 53,cp -576
https://lichess.org/4hAkMwVg,From Position,b,48,Bxd5,8/8/7p/1N1B1p1k/p1p2P2/6PP/7K/8 b - - 0 53,cp 577
https://lichess.org/4hAkMwVg,From Position,b,49,a3,8/8/7p/1N1B1p1k/2p2P2/p5PP/7K/8 w - - 0 54,cp -586
https://lichess.org/4hAkMwVg,From Position,b,50,Bf7#,8/5B2/7p/1N3p1k/2p2P2/p5PP/7K/8 b - - 1 54,cp 562
https://lichess.org/xoMXrRFU,Standard,w,1,e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,cp 39
https://lichess.org/xoMXrRFU,Standard,w,2,e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,cp -27 lowerbound
